SetterPosition,ReceiveType,BlockingNum,ReceivingPlayer,PassQuality,Attacker,AttackResult,killType,KillX,KillY,killTeam,hitFix,BlockResult,BlockingPlayer,BlockingAssist
2,L,1.5,-1,,,,S,2,3,0,,,,
2,S,,21,1,21,D,,,,,,,,
2,L,2.0,21,2,21,D,,,,,,,,
2,R,2.0,,,,,,,,,,K,21,1
1,F,0.0,19,2,11,D,,,,,,,,
1,F,0.0,19,2,1,D,,,,,,,,
1,R,2.0,,,,,,,,,,D,1,4
1,R,2.0,4,2,21,D,,,,,,,,
1,L,2.0,,,,,,,,,,T,1,9
1,S,,11,2,9,D,,,,,,,,
6,L,1.5,-1,,,,S,2,3,0,,,,
6,S,,21,2,9,D,,,,,,,,
6,M,1.0,11,2,19,D,,,,,,,,
6,L,2.0,1,0,,,S,3,2,0,,,,
4,L,2.0,,,,,,,,,,D,13,4
4,L,2.0,11,2,19,K,T,1,1,1,,,,
4,L,2.0,11,2,19,D,,,,,,,,
4,M,2.0,11,0,,,T,2,2,0,,,,
3,L,2.0,,,,,,,,,,D,13,4
3,L,2.0,,,,,,,,,,D,13,4
3,L,2.0,21,1,-1,D,,,,,,,,
3,S,,21,0,21,D,,,,,,,,
3,L,2.0,-1,,,,T,1,2,0,,,,
3,S,,11,2,21,K,B,,,1,,,,
3,F,0.0,-1,-10,,,,,,,,,,
3,S,,19,0,,,,,,,,,,
3,L,1.5,-1,,,,S,2,2,0,,,,
2,S,,11,3,1,E,,,,,,,,
2,S,,19,1,21,E,,,,,,,,
2,R,2.0,4,2,9,D,,,,,,,,
2,O,1.0,,,,,,,,,,K,9,
2,M,1.5,11,1,-1,D,,,,,,,,
2,L,2.0,,,,,,,,,,T,1,9
6,M,1.0,11,2,19,K,S,2,3,1,,,,
6,L,2.0,,,,,,,,,,K,9,1
6,S,,19,0,-1,D,,,,,,,,
6,M,1.5,21,1,19,K,R,1,3,1,,,,
6,L,2.0,13,1,-1,D,,,,,,,,
