SetterPosition,ReceiveType,BlockingNum,ReceivingPlayer,PassQuality,Attacker,AttackResult,killType,KillX,KillY,killTeam,hitFix,BlockResult,BlockingPlayer,BlockingAssist
1,L,1.5,-1,,,,S,2,3,0,,,,
1,S,,21,0,9,E,,,,,,,,
1,S,,-1,0,,,,,,,,,,
1,S,,11,3,9,K,B,,,1,,,,
6,L,1.5,15,0,,,,,,0,,,,
6,S,,11,2,15,D,,,,,,,,
6,L,1.5,21,2,15,D,,,,,,,,
5,L,2.0,,,,,,,,,,T,9,13
5,S,,11,2,9,K,S,3,3,1,,,,
5,L,2.0,11,3,15,K,S,1,3,1,,,,
4,L,2.0,9,0,,,S,1,3,0,,,,
4,S,,21,3,13,D,,,,,,,,
4,M,1.0,9,1,-1,K,,,,1,,,,
4,F,0.0,13,3,18,K,S,3,3,1,,,,
4,M,2.0,9,0,,,S,1,2,0,,,,
4,,,,,,,,,,,,,,
3,S,,15,0,,,,,,,,,,
3,S,,15,0,21,D,,,,,,,,
3,L,2.0,11,0,,,R,2,2,0,,,,
1,M,1.0,18,1,-1,D,,,,,,,,
1,L,2.0,-1,,,,S,1,3,0,,,,
1,S,,11,1,9,K,S,3,3,1,,,,
6,S,,15,0,-1,D,,,,,,,,
6,L,1.5,,,,,,,,,,E,9,18
6,S,,21,2,15,D,,,,,,,,
6,L,2.0,-1,,,,R,2,2,0,,,,
5,F,0.0,18,3,9,K,S,3,2,1,,,,
5,O,1.0,,,,,,,,,,K,15,
5,O,1.0,,,,,,,,,,K,13,
5,F,0.0,13,2,13,E,,,,,,,,
5,S,,11,0,,,,,,,,,,
5,S,,11,3,9,K,B,,,1,,,,
4,S,,21,3,15,D,,,,,,,,
4,M,1.0,9,0,,,S,1,2,0,,,,
4,S,,21,1,15,K,S,3,2,1,,,,
4,L,1.5,,,,,,,,,,T,13,4
4,S,,11,1,9,E,,,,,,,,
4,S,,11,3,13,K,S,3,3,1,,,,
