SetterPosition,ReceiveType,BlockingNum,ReceivingPlayer,PassQuality,Attacker,AttackResult,killType,KillX,KillY,killTeam,hitFix,BlockResult,BlockingPlayer,BlockingAssist
3,L,2.0,15,0,,,,,,0,,,,
3,S,,11,2,13,D,,,,,,,,
3,D,0.0,9,3,21,K,R,3,3,1,,,,
2,M,2.0,,,,,,,,,,E,21,18
2,S,,11,2,21,D,,,,,,,,
2,F,0.0,15,3,21,K,S,2,3,1,,,,
1,L,2.0,15,1,,,,,,,,,,
1,S,,15,2,9,D,,,,,,,,
1,F,0.0,11,2,9,D,,,,,,,,
1,L,2.0,,,,,,,,,,D,18,9
6,L,2.0,-1,,,,R,2,3,0,,,,
6,S,,11,3,9,K,T,3,2,1,,,,
5,S,,21,2,15,D,,,,,,,,
5,D,0.0,21,2,15,K,S,3,3,1,,,,
5,L,2.0,11,1,15,D,,,,,,,,
5,L,1.0,,,,,,,,,,K,13,
5,P,1.0,11,1,15,E,,,,,,,,
5,S,,21,1,15,B,,,,,,,,
4,S,,21,0,,,,,,,,,,
4,M,1.0,21,1,-1,D,,,,,,,,
4,P,1.0,-1,,,,R,2,2,0,,,,
3,S,,15,0,,,,,,,,,,
3,S,,21,1,21,D,,,,,,,,
3,R,1.5,9,0,,,S,1,3,0,,,,
3,S,,-1,0,,,,,,,,,,
3,S,,21,1,21,D,,,,,,,,
3,L,1.5,-1,,,,S,2,3,0,,,,
3,S,,15,1,21,D,,,,,,,,
3,L,2.0,21,1,21,B,,,,,,,,
3,S,,11,3,13,D,,,,,,,,
3,F,0.0,11,3,13,D,,,,,,,,
3,R,2.0,,,,,,,,,,T,13,21
3,S,,15,0,,,,,,,,,,
2,L,1.5,15,0,,,,,,0,,,,
2,S,,15,0,,,,,,,,,,
2,S,,15,2,18,B,,,,,,,,
2,S,,11,2,21,K,S,3,3,1,,,,
1,L,2.0,,,,,,,,,,T,18,9
6,M,1.0,21,3,9,K,S,3,3,1,,,,
6,L,1.0,,,,,,,,,,K,9,
6,R,2.0,9,1,-1,D,,,,,,,,
6,F,0.0,21,2,15,D,,,,,,,,
6,O,1.0,,,,,,,,,,K,15,
6,F,0.0,11,3,9,K,S,1,2,1,,,,
6,L,1.0,,,,,,,,,,K,9,
6,R,2.0,,,,,,,,,,K,15,18
6,L,1.5,21,0,,,S,2,3,0,,,,
6,S,,11,0,15,D,,,,,,,,
6,L,1.0,,,,,,,,,,K,9,
6,R,2.0,,,,,,,,,,D,15,13
6,O,1.0,,,,,,,,,,K,13,
5,L,1.0,21,2,-10,,,,,,,,,
5,S,,21,0,,,,,,,,,,
5,S,,21,3,9,E,,,,,,,,
5,S,,21,1,21,E,,,,,,,,
5,S,,21,2,15,E,,,,,,,,
5,S,,15,1,9,D,,,,,,,,
5,L,2.0,4,1,-1,D,,,,,,,,
5,M,1.0,21,1,,,,,,,,,,
5,O,1.0,,,,,,,,,,K,9,
5,L,2.0,21,2,15,C,,,,,,,,
5,C,0.0,11,1,-1,D,,,,,,,,
5,L,2.0,4,2,15,E,,,,,,,,
