SetterPosition,ReceiveType,BlockingNum,ReceivingPlayer,PassQuality,Attacker,AttackResult,killType,KillX,KillY,killTeam,hitFix,BlockResult,BlockingPlayer,BlockingAssist,SetID
1,L,1.5,-1,,,,B,2,2,0,,,,,4
6,L,1,21,2,,,,,,,,,,,4
6,S,,11,3,1,E,,,,,,,,,4
6,S,,11,3,9,D,,,,,,,,,4
6,L,1,15,2,15,D,,,,,,,,,4
6,L,2,4,2,15,E,,,,,,,,,4
5,O,1,,,,,,,,,,D,13,,4
5,R,2,4,0,,,S,1,2,0,,,,,4
5,S,,11,0,,,,,,,,,,,4
5,S,,21,1,15,D,,,,,,,,,4
5,L,2,,,,,,,,,,D,13,9,4
4,R,1.5,21,3,15,D,,,,,,,,,4
4,O,0,9,3,13,D,,,,,,,,,4
4,L,1.5,9,0,,,T,1,2,0,,,,,4
4,S,,11,2,15,C,,,,,,,,,4
4,C,0,11,2,9,D,,,,,,,,,4
4,L,2,9,0,,,S,1,2,0,,,,,4
4,S,,21,1,15,D,,,,,,,,,4
4,L,2,,,,,,,,,,K,13,4,4
2,S,,11,3,1,D,,,,,,,,,4
2,F,0,9,3,21,D,,,,,,,,,4
2,L,2,-1,,,,S,1,3,0,,,,,4
2,S,,15,0,-1,,,,,,,,,,4
2,R,0,15,0,,,S,2,3,0,,,,,4
2,S,,15,3,21,K,R,2,2,1,,,,,4
2,L,1.5,-1,,,,S,3,2,0,,,,,4
6,M,1,11,3,15,K,B,3,1,1,,,,,4
6,F,0,9,1,15,E,,,,,,,,,4
6,S,,11,3,9,D,,,,,,,,,4
6,L,2,-1,,,,B,2,2,0,,,,,4
6,S,,21,3,9,D,,,,,,,,,4
6,L,2,11,0,,,S,3,2,0,,,,,4
6,S,,11,0,-1,D,,,,,,,,,4
6,M,1,8,2,15,D,,,,,,,,,4
6,R,2,8,1,-1,E,,,,,,,,,4
6,S,,15,0,,,,,,,,,,,4
6,S,,15,0,-1,D,,,,,,,,,4
6,M,1,8,1,-1,D,,,,,,,,,4
6,L,1.5,21,0,,,S,2,3,0,,,,,4
6,S,,19,0,19,D,,,,,,,,,4
6,L,2,-1,,,,R,1,3,0,,,,,4
5,R,2,9,1,19,E,,,,,,,,,4
5,S,,21,0,,,,,,,,,,,4
5,S,,-1,,,,,,,,,,,,4
5,S,,21,0,-1,D,,,,,,,,,4
5,L,1.5,,,,,,,,,,T,13,9,4
5,S,,21,2,19,D,,,,,,,,,4
5,L,2,-1,,,,T,1,1,0,,,,,4
