SetterPosition,ReceiveType,BlockingNum,ReceivingPlayer,PassQuality,Attacker,AttackResult,killType,KillX,KillY,killTeam,hitFix,BlockResult,BlockingPlayer,BlockingAssist
1,L,2.0,21,0,,,S,2,3,0,,,,
1,L,1.5,11,2,19,D,,,,,,,,
1,R,2.0,11,3,19,D,,,,,,,,
1,L,2.0,,,,,,,,,,K,1,19
1,L,1.5,-1,,,,S,2,3,0,,,,
1,S,,21,1,19,D,,,,,,,,
1,M,2.0,,,,,,,,,,D,15,1
1,L,2.0,11,0,,,S,3,2,0,,,,
1,S,,21,3,15,D,,,,,,,,
1,F,0.0,11,3,15,K,S,2,3,1,,,,
1,F,0.0,11,3,1,C,,,,,,,,
1,C,0.0,11,2,1,E,,,,,,,,
1,S,,11,1,15,D,,,,,,,,
1,F,0.0,21,3,19,D,,,,,,,,
1,F,0.0,15,3,21,K,S,1,3,1,,,,
5,M,1.0,-1,,,,S,1,3,0,,,,
5,S,,15,3,-1,D,,,,,,,,
5,M,1.0,,,,,,,,,,D,21,
5,M,1.0,,,,,,,,,,K,13,
4,L,2.0,-10,,,,,,,,,K,4,13
4,S,,21,0,-1,D,,,,,,,,
3,R,1.0,,,,,,,,,,T,15,
3,S,,15,0,,,,,,,,,,
3,L,1.5,21,3,15,K,S,1,3,1,,,,
2,L,2.0,,,,,,,,,,K,1,4
2,M,1.5,-1,,,,S,3,3,0,,,,
2,S,,15,3,1,K,S,1,2,1,,,,
1,R,2.0,21,2,,,,,,,,,,
1,S,,21,2,19,D,,,,,,,,
1,L,1.5,,,,,,,,,,T,1,4
1,S,,21,3,1,E,,,,,,,,
1,S,,11,0,,,,,,,,,,
6,S,,11,0,21,E,,,,,,,,
5,M,1.5,,,,,,,,,,K,13,21
4,R,2.0,11,3,13,K,S,2,2,1,,,,
4,L,1.5,-1,,,,S,3,3,0,,,,
4,S,,15,3,13,D,,,,,,,,
5,S,,15,1,21,D,,,,,,,,
5,L,1.0,15,2,21,D,,,,,,,,
5,F,0.0,15,3,13,K,S,2,2,1,,,,
5,R,1.5,19,0,,,S,1,2,0,,,,
